customer_id,order_id,order_date,year,category,city,payment_mode,sales_amount
AMZ_CUST_0001,900000,2019-09-05,2019,Mobiles,Chennai,UPI,89563
AMZ_CUST_0001,900001,2019-03-18,2019,Home Appliances,Ahmedabad,EMI,50780
AMZ_CUST_0002,900002,2019-10-23,2019,Home Appliances,Chennai,EMI,44403
AMZ_CUST_0002,900003,2019-12-21,2019,Sports,Ahmedabad,Credit Card,25861
AMZ_CUST_0003,900004,2019-03-07,2019,Home Appliances,Ahmedabad,EMI,52481
AMZ_CUST_0003,900005,2019-01-22,2019,Kids,Chennai,Debit Card,73794
AMZ_CUST_0004,900006,2019-09-02,2019,Sports,Chennai,Debit Card,72750
AMZ_CUST_0005,900007,2019-05-27,2019,Sports,Jaipur,UPI,56972
AMZ_CUST_0005,900008,2019-01-06,2019,Kids,Jaipur,COD,21667
AMZ_CUST_0005,900009,2019-07-26,2019,Mobiles,Chennai,UPI,32606
AMZ_CUST_0006,900010,2019-06-03,2019,Electronics,Coimbatore,Credit Card,807
AMZ_CUST_0006,900011,2019-11-19,2019,Mobiles,Jaipur,COD,61279
AMZ_CUST_0007,900012,2019-08-06,2019,Fashion,Mumbai,UPI,17827
AMZ_CUST_0007,900013,2019-03-19,2019,Mobiles,Jaipur,COD,81552
AMZ_CUST_0008,900014,2019-04-02,2019,Fashion,Bangalore,COD,88000
AMZ_CUST_0009,900015,2019-01-03,2019,Home Appliances,Jaipur,Credit Card,68893
AMZ_CUST_0009,900016,2019-04-02,2019,Electronics,Bangalore,Credit Card,62784
AMZ_CUST_0009,900017,2019-12-12,2019,Kids,Kolkata,EMI,42229
AMZ_CUST_0010,900018,2019-02-10,2019,Kids,Bangalore,EMI,10530
AMZ_CUST_0010,900019,2019-07-15,2019,Sports,Ahmedabad,Credit Card,31816
AMZ_CUST_0011,900020,2019-01-12,2019,Kids,Jaipur,UPI,59177
AMZ_CUST_0011,900021,2019-10-05,2019,Sports,Chennai,Debit Card,69448
AMZ_CUST_0012,900022,2019-09-15,2019,Electronics,Bangalore,EMI,34197
AMZ_CUST_0013,900023,2019-09-22,2019,Mobiles,Delhi,UPI,79991
AMZ_CUST_0013,900024,2019-06-04,2019,Sports,Coimbatore,COD,67270
AMZ_CUST_0013,900025,2019-06-13,2019,Sports,Delhi,Debit Card,35825
AMZ_CUST_0014,900026,2019-01-16,2019,Electronics,Mumbai,Debit Card,71317
AMZ_CUST_0014,900027,2019-07-04,2019,Home Appliances,Pune,EMI,46688
AMZ_CUST_0014,900028,2019-06-23,2019,Home Appliances,Bangalore,EMI,79413
AMZ_CUST_0015,900029,2019-12-20,2019,Fashion,Mumbai,COD,3097
AMZ_CUST_0015,900030,2019-06-05,2019,Fashion,Bangalore,Debit Card,49268
AMZ_CUST_0016,900031,2019-11-24,2019,Home Appliances,Ahmedabad,COD,77594
AMZ_CUST_0017,900032,2019-02-20,2019,Home Appliances,Coimbatore,Debit Card,34041
AMZ_CUST_0018,900033,2019-06-15,2019,Electronics,Jaipur,Debit Card,37254
AMZ_CUST_0019,900034,2019-07-01,2019,Electronics,Bangalore,Debit Card,77994
AMZ_CUST_0020,900035,2019-04-20,2019,Sports,Pune,COD,44102
AMZ_CUST_0020,900036,2019-10-26,2019,Mobiles,Mumbai,COD,49890
AMZ_CUST_0021,900037,2019-10-23,2019,Mobiles,Pune,Debit Card,31457
AMZ_CUST_0021,900038,2019-02-25,2019,Fashion,Pune,COD,49493
AMZ_CUST_0022,900039,2019-09-07,2019,Electronics,Mumbai,COD,73632
AMZ_CUST_0022,900040,2019-09-14,2019,Home Appliances,Coimbatore,EMI,59116
AMZ_CUST_0022,900041,2019-04-11,2019,Mobiles,Ahmedabad,UPI,86766
AMZ_CUST_0023,900042,2019-06-23,2019,Sports,Delhi,Credit Card,24251
AMZ_CUST_0023,900043,2019-10-16,2019,Electronics,Kolkata,Credit Card,66365
AMZ_CUST_0024,900044,2019-04-15,2019,Electronics,Bangalore,EMI,61573
AMZ_CUST_0024,900045,2019-06-08,2019,Sports,Mumbai,EMI,52184
AMZ_CUST_0024,900046,2019-10-27,2019,Electronics,Pune,EMI,13401
AMZ_CUST_0025,900047,2019-03-20,2019,Sports,Pune,UPI,3008
AMZ_CUST_0025,900048,2019-01-23,2019,Electronics,Mumbai,EMI,49338
AMZ_CUST_0026,900049,2019-04-04,2019,Sports,Ahmedabad,UPI,48471
AMZ_CUST_0026,900050,2019-03-07,2019,Mobiles,Jaipur,Credit Card,24183
AMZ_CUST_0026,900051,2019-02-27,2019,Sports,Mumbai,COD,4707
AMZ_CUST_0027,900052,2019-07-08,2019,Home Appliances,Delhi,UPI,75468
AMZ_CUST_0027,900053,2019-05-16,2019,Sports,Coimbatore,UPI,28668
